,Unnamed: 0,f,t,c
106,10526,Acidovorax_sp_sd340,1690268,collection137
107,17425,Acidovorax_temperans,80878,collection91
108,4408,Aciduliprofundum_boonei_t469,439481,collection10
109,40604,Aciduliprofundum_sp_mar08_339,673860,collection26
110,33257,Acinetobacter_baumannii,470,collection93
111,32003,Acinetobacter_baumannii_1000160,1310800,collection56
112,7306,Acinetobacter_baumannii_1007214,1310784,collection60
113,11606,Acinetobacter_baumannii_1022959,1310751,collection58
114,31954,Acinetobacter_baumannii_1031433,1310586,collection56
115,12685,Acinetobacter_baumannii_1032241,1310571,collection55
116,17881,Acinetobacter_baumannii_1032359,1310572,collection65
117,7156,Acinetobacter_baumannii_1035119,1310622,collection60
118,11573,Acinetobacter_baumannii_1036938,1310554,collection58
119,10419,Acinetobacter_baumannii_1039621,1310592,collection51
120,11102,Acinetobacter_baumannii_1040094,1310590,collection54
121,36033,Acinetobacter_baumannii_1042969_1197,1310831,collection72
122,37328,Acinetobacter_baumannii_1042969_1265,1310574,collection52
123,23867,Acinetobacter_baumannii_1043794,1310564,collection59
124,25777,Acinetobacter_baumannii_1043903,1310569,collection61
125,9232,Acinetobacter_baumannii_1045092,1310739,collection57
126,10091,Acinetobacter_baumannii_1046051,1310570,collection53
127,28350,Acinetobacter_baumannii_1046674,1310567,collection47
128,9141,Acinetobacter_baumannii_1051176,1310583,collection57
129,10237,Acinetobacter_baumannii_1051830,1310585,collection51
130,38685,Acinetobacter_baumannii_10519,1310749,collection62
131,7159,Acinetobacter_baumannii_1058283,1310771,collection60
132,23901,Acinetobacter_baumannii_1062314,1310725,collection59
133,18138,Acinetobacter_baumannii_1064293_45,1310750,collection49
134,27019,Acinetobacter_baumannii_1064293_46,1310825,collection75
135,2269,Acinetobacter_baumannii_1075025,1310596,collection48
136,22710,Acinetobacter_baumannii_107m,1149135,collection45
137,38530,Acinetobacter_baumannii_1095464,1310747,collection62
138,7206,Acinetobacter_baumannii_1096934,1310657,collection60
139,12668,Acinetobacter_baumannii_1106579,1310659,collection55
140,12766,Acinetobacter_baumannii_110912,1310648,collection55
141,23890,Acinetobacter_baumannii_11126,1310802,collection59
142,10299,Acinetobacter_baumannii_1117819,1310780,collection51
143,12692,Acinetobacter_baumannii_1121032,1310598,collection55
144,36793,Acinetobacter_baumannii_1146103,1310656,collection81
145,22733,Acinetobacter_baumannii_1159076,1310644,collection45
146,10148,Acinetobacter_baumannii_1170863,1310782,collection53
147,28392,Acinetobacter_baumannii_1178044,1310731,collection47
148,12663,Acinetobacter_baumannii_118362,1310618,collection55
149,11098,Acinetobacter_baumannii_1188188,1310742,collection54
150,7231,Acinetobacter_baumannii_1195185_11,1310733,collection60
151,815,Acinetobacter_baumannii_1195185_80,1310826,collection74
152,10246,Acinetobacter_baumannii_1202252,1310624,collection51
153,25250,Acinetobacter_baumannii_1207552,1310730,collection46
154,38587,Acinetobacter_baumannii_121738,1310818,collection62
155,37312,Acinetobacter_baumannii_1232509,1310774,collection52
156,37161,Acinetobacter_baumannii_1237202,1310767,collection52
157,37172,Acinetobacter_baumannii_1237893,1310744,collection52
158,10211,Acinetobacter_baumannii_1247182,1310597,collection53
159,800,Acinetobacter_baumannii_1262761_105,1310827,collection74
160,22642,Acinetobacter_baumannii_1262761_97,1310777,collection45
161,25891,Acinetobacter_baumannii_1264936,1310743,collection61
162,38657,Acinetobacter_baumannii_1266220,1310758,collection62
163,31886,Acinetobacter_baumannii_1267820,1310628,collection56
164,24003,Acinetobacter_baumannii_1271213,1310737,collection59
165,22686,Acinetobacter_baumannii_1271651,1310732,collection45
166,38191,Acinetobacter_baumannii_1276470_132,1310829,collection70
167,28335,Acinetobacter_baumannii_1276470_86,1310769,collection47
168,9989,Acinetobacter_baumannii_1277411,1310655,collection53
169,4645,Acinetobacter_baumannii_1284800,1310627,collection80
170,10227,Acinetobacter_baumannii_1287985,1310746,collection51
171,38237,Acinetobacter_baumannii_1288284,1310709,collection70
172,37150,Acinetobacter_baumannii_1289546,1310600,collection52
173,25253,Acinetobacter_baumannii_1291820,1310654,collection46
174,23101,Acinetobacter_baumannii_1293320,1310752,collection50
175,11597,Acinetobacter_baumannii_1294217,1310620,collection58
176,2301,Acinetobacter_baumannii_1294222,1310765,collection48
177,10303,Acinetobacter_baumannii_1295549,1310770,collection51
178,18225,Acinetobacter_baumannii_1295743,1310613,collection49
179,25332,Acinetobacter_baumannii_1296252,1310753,collection46
180,25255,Acinetobacter_baumannii_1297,1310580,collection46
181,28441,Acinetobacter_baumannii_1297549,1310606,collection47
182,27101,Acinetobacter_baumannii_135867,1310629,collection75
183,23990,Acinetobacter_baumannii_136706,1310558,collection59
184,10215,Acinetobacter_baumannii_1391434,1310762,collection53
185,11180,Acinetobacter_baumannii_1392509,1310775,collection54
186,9179,Acinetobacter_baumannii_1397084,1310614,collection57
187,7316,Acinetobacter_baumannii_1397513,1310768,collection60
188,7211,Acinetobacter_baumannii_1406182,1310796,collection60
189,18216,Acinetobacter_baumannii_1406589,1310760,collection49
190,7181,Acinetobacter_baumannii_1406750,1310617,collection60
191,11644,Acinetobacter_baumannii_1412924,1310706,collection58
192,2340,Acinetobacter_baumannii_1413735,1310776,collection48
193,10229,Acinetobacter_baumannii_1417041,1310703,collection51
194,23160,Acinetobacter_baumannii_1419130,1310619,collection50
195,28329,Acinetobacter_baumannii_14216,1310798,collection47
196,12764,Acinetobacter_baumannii_1426993,1310805,collection55
197,37205,Acinetobacter_baumannii_1428368,1310797,collection52
198,7222,Acinetobacter_baumannii_1429530,1310636,collection60
199,11114,Acinetobacter_baumannii_1437282,1310638,collection54
200,18179,Acinetobacter_baumannii_1440422,1310641,collection49
201,25782,Acinetobacter_baumannii_1440750,1310663,collection61
202,18112,Acinetobacter_baumannii_144107,1310688,collection49
203,18968,Acinetobacter_baumannii_1451147,1310642,collection84
204,22744,Acinetobacter_baumannii_145660,1310789,collection45
205,11084,Acinetobacter_baumannii_1457504,1310717,collection54
206,23993,Acinetobacter_baumannii_1461963,1310645,collection59
207,2355,Acinetobacter_baumannii_1462234,1310646,collection48
208,11138,Acinetobacter_baumannii_146457,1310623,collection54
209,37314,Acinetobacter_baumannii_1465485,1310649,collection52
210,11007,Acinetobacter_baumannii_1471012,1310713,collection54
211,11096,Acinetobacter_baumannii_1475764,1310718,collection54
212,25445,Acinetobacter_baumannii_1482820,1310716,collection46
213,12733,Acinetobacter_baumannii_1488685,1310807,collection55
214,10253,Acinetobacter_baumannii_1494580,1310799,collection51
215,1969,Acinetobacter_baumannii_1499986,1310673,collection73
216,27108,Acinetobacter_baumannii_1505311,1310806,collection75
217,37291,Acinetobacter_baumannii_1525283,1310665,collection52
218,11086,Acinetobacter_baumannii_1526966,1310675,collection54
219,12810,Acinetobacter_baumannii_1533268,1310721,collection55
220,38088,Acinetobacter_baumannii_1539026,1310809,collection70
221,10197,Acinetobacter_baumannii_1546444,1310674,collection53
222,31796,Acinetobacter_baumannii_1552389,1310812,collection56
223,10332,Acinetobacter_baumannii_1552818,1310666,collection51
224,7261,Acinetobacter_baumannii_1552865,1310679,collection60
225,14548,Acinetobacter_baumannii_1571545,1310816,collection66
226,31995,Acinetobacter_baumannii_1575710,1310699,collection56
227,35944,Acinetobacter_baumannii_15827,1310631,collection72
228,10133,Acinetobacter_baumannii_1593273,1310698,collection53
229,14669,Acinetobacter_baumannii_1598530,1310700,collection66
230,3010,Acinetobacter_baumannii_1605,1351817,collection39
231,23266,Acinetobacter_baumannii_16553_1,1311098,collection50
232,28495,Acinetobacter_baumannii_16553_10,1311107,collection47
233,37200,Acinetobacter_baumannii_16553_2,1311099,collection52
234,23286,Acinetobacter_baumannii_16553_3,1311100,collection50
235,18178,Acinetobacter_baumannii_16553_4,1311101,collection49
236,23132,Acinetobacter_baumannii_16553_6,1311103,collection50
237,23314,Acinetobacter_baumannii_16553_8,1311105,collection50
238,18205,Acinetobacter_baumannii_16553_9,1311106,collection49
239,21670,Acinetobacter_baumannii_1656_2,696749,collection6
240,28368,Acinetobacter_baumannii_17534,1310556,collection47
241,6501,Acinetobacter_baumannii_18689,1310573,collection82
242,38153,Acinetobacter_baumannii_21072,1310697,collection70
243,7326,Acinetobacter_baumannii_213697,1310763,collection60
244,9155,Acinetobacter_baumannii_214216,1310783,collection57
245,4703,Acinetobacter_baumannii_23037,1310584,collection80
246,12625,Acinetobacter_baumannii_232184,1310694,collection55
247,1494,Acinetobacter_baumannii_233846,1310736,collection64
248,10172,Acinetobacter_baumannii_23671,1310729,collection53
249,25319,Acinetobacter_baumannii_24812_10,1310854,collection46
250,11257,Acinetobacter_baumannii_24812_2,1310846,collection77
251,12759,Acinetobacter_baumannii_24812_4,1310848,collection55
252,11481,Acinetobacter_baumannii_24812_6,1310850,collection58
253,1587,Acinetobacter_baumannii_24812_7,1310851,collection64
254,36108,Acinetobacter_baumannii_24812_8,1310852,collection72
255,12816,Acinetobacter_baumannii_24845_1,1310855,collection55
256,23158,Acinetobacter_baumannii_24845_10,1310864,collection50
257,11411,Acinetobacter_baumannii_24845_3,1310857,collection58
258,28459,Acinetobacter_baumannii_24845_4,1310858,collection47
259,12617,Acinetobacter_baumannii_24845_5,1310859,collection55
260,23212,Acinetobacter_baumannii_24845_6,1310860,collection50
261,31871,Acinetobacter_baumannii_24845_7,1310861,collection56
262,2240,Acinetobacter_baumannii_24845_8,1310862,collection48
263,12705,Acinetobacter_baumannii_24845_9,1310863,collection55
264,15213,Acinetobacter_baumannii_24860_1,1310835,collection83
265,23258,Acinetobacter_baumannii_24860_10,1310844,collection50
266,37243,Acinetobacter_baumannii_24860_2,1310836,collection52
267,21982,Acinetobacter_baumannii_24860_3,1310837,collection79
268,9990,Acinetobacter_baumannii_24860_4,1310838,collection53
269,17662,Acinetobacter_baumannii_24860_5,1310839,collection63
270,6601,Acinetobacter_baumannii_24860_6,1310840,collection82
271,23223,Acinetobacter_baumannii_24860_7,1310841,collection50
272,38755,Acinetobacter_baumannii_24860_8,1310842,collection62
273,17980,Acinetobacter_baumannii_24860_9,1310843,collection65
274,18211,Acinetobacter_baumannii_24975_1,1310945,collection49
275,17646,Acinetobacter_baumannii_24975_10,1310954,collection63
276,28453,Acinetobacter_baumannii_24975_4,1310948,collection47
277,37283,Acinetobacter_baumannii_24975_5,1310949,collection52
278,12831,Acinetobacter_baumannii_24975_7,1310951,collection55
279,37279,Acinetobacter_baumannii_24975_9,1310953,collection52
280,10223,Acinetobacter_baumannii_25253_1,1310875,collection51
281,31963,Acinetobacter_baumannii_25253_10,1310884,collection56
282,9033,Acinetobacter_baumannii_25253_3,1310877,collection57
283,10423,Acinetobacter_baumannii_25253_4,1310878,collection51
284,11588,Acinetobacter_baumannii_25253_5,1310879,collection58
285,25405,Acinetobacter_baumannii_25253_6,1310880,collection46
286,12771,Acinetobacter_baumannii_25253_7,1310881,collection55
287,23996,Acinetobacter_baumannii_25253_8,1310882,collection59
288,22784,Acinetobacter_baumannii_25307_1,1310865,collection45
289,28338,Acinetobacter_baumannii_25307_2,1310866,collection47
290,7124,Acinetobacter_baumannii_25307_3,1310867,collection60
291,10998,Acinetobacter_baumannii_25307_4,1310868,collection54
292,9054,Acinetobacter_baumannii_25307_5,1310869,collection57
293,11012,Acinetobacter_baumannii_25307_6,1310870,collection54
294,23944,Acinetobacter_baumannii_25307_8,1310872,collection59
295,4638,Acinetobacter_baumannii_25442_1,1311118,collection80
296,29104,Acinetobacter_baumannii_25442_5,1311122,collection67
297,944,Acinetobacter_baumannii_25442_7,1311124,collection74
298,36718,Acinetobacter_baumannii_25442_9,1311126,collection81
299,18253,Acinetobacter_baumannii_25493_1,1311015,collection49
300,10445,Acinetobacter_baumannii_25493_10,1311024,collection51
301,7234,Acinetobacter_baumannii_25493_2,1311016,collection60
302,28555,Acinetobacter_baumannii_25493_3,1311017,collection47
303,7152,Acinetobacter_baumannii_25493_4,1311018,collection60
304,28439,Acinetobacter_baumannii_25493_5,1311019,collection47
305,31980,Acinetobacter_baumannii_25493_6,1311020,collection56
306,10312,Acinetobacter_baumannii_25493_8,1311022,collection51
307,12679,Acinetobacter_baumannii_25493_9,1311023,collection55
